rank,comp_id,source_id,target_building,address,unit,subject_unit,unit_match,unit_score,floor_plan_relation,relation_reason,plan_signature,metric_similarity_pct,metric_match_count,metric_total_count,metric_fields_used,metric_fields_matched,community,assessed_value,re_assessed_value,nr_assessed_value,fl_assessed_value,assessment_year,year_of_construction,property_type,assessment_class,assessment_class_description,land_use_designation,sub_property_use,land_size_sm,sqft,roll_number,value_delta,value_delta_pct,dataset_id,source_url
1,C-OCU-20260305T180623Z-001,S-OCU-20260305T180623Z-001,1000 Somervale Court SW,209 1000 SOMERVALE CO SW,209,209,same_unit,200,same_floor_plan,same unit identifier across related building,stack:09|sub_property_use:R201|land_use:M-C2|assessed_bucket:262500,96.17,13,16,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;year_of_construction;roll_year,SOMERSET,263000,263000,0,0,2026,2001.0,LI,RE,Residential,M-C2,R201,7560.0,,757514849,0,0.0000,4bsw-nn7w,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%251000%25%27+and+upper%28address%29+like+%27%25SOMERVALE%25%27&%24limit=400&%24offset=0
2,C-OCU-20260305T180623Z-002,S-OCU-20260305T180623Z-002,2000 Somervale Court SW,209 2000 SOMERVALE CO SW,209,209,same_unit,200,same_floor_plan,same unit identifier across related building,stack:09|sub_property_use:R201|land_use:M-C2|assessed_bucket:262500,95.77,13,16,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;year_of_construction;roll_year,SOMERSET,263000,263000,0,0,2026,2001.0,LI,RE,Residential,M-C2,R201,7770.0,,757503925,0,0.0000,4bsw-nn7w,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%252000%25%27+and+upper%28address%29+like+%27%25SOMERVALE%25%27&%24limit=400&%24offset=0
3,C-OCU-20260305T180623Z-003,S-OCU-20260305T180623Z-003,3000 Somervale Court SW,309 3000 SOMERVALE CO SW,309,209,same_stack+adjacent_floor,120,same_floor_plan,same stack with strong metric similarity,stack:09|sub_property_use:R201|land_use:M-C2|assessed_bucket:267500,99.79,16,16,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,SOMERSET,267500,267500,0,0,2026,2001.0,LI,RE,Residential,M-C2,R201,6010.0,,757507306,4500,0.0171,4bsw-nn7w,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%253000%25%27+and+upper%28address%29+like+%27%25SOMERVALE%25%27&%24limit=400&%24offset=0
4,C-OCU-20260305T180623Z-004,S-OCU-20260305T180623Z-004,3000 Somervale Court SW,109 3000 SOMERVALE CO SW,109,209,same_stack+adjacent_floor,120,same_floor_plan,same stack with strong metric similarity,stack:09|sub_property_use:R201|land_use:M-C2|assessed_bucket:257500,99.79,16,16,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,SOMERSET,258500,258500,0,0,2026,2001.0,LI,RE,Residential,M-C2,R201,6010.0,,757506548,-4500,-0.0171,4bsw-nn7w,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%253000%25%27+and+upper%28address%29+like+%27%25SOMERVALE%25%27&%24limit=400&%24offset=0
5,C-OCU-20260305T180623Z-005,S-OCU-20260305T180623Z-005,1000 Somervale Court SW,309 1000 SOMERVALE CO SW,309,209,same_stack+adjacent_floor,120,same_floor_plan,same stack with strong metric similarity,stack:09|sub_property_use:R201|land_use:M-C2|assessed_bucket:267500,95.96,13,16,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;year_of_construction;roll_year,SOMERSET,267500,267500,0,0,2026,2001.0,LI,RE,Residential,M-C2,R201,7560.0,,757515226,4500,0.0171,4bsw-nn7w,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%251000%25%27+and+upper%28address%29+like+%27%25SOMERVALE%25%27&%24limit=400&%24offset=0
6,C-OCU-20260305T180623Z-006,S-OCU-20260305T180623Z-006,1000 Somervale Court SW,109 1000 SOMERVALE CO SW,109,209,same_stack+adjacent_floor,120,same_floor_plan,same stack with strong metric similarity,stack:09|sub_property_use:R201|land_use:M-C2|assessed_bucket:257500,95.95,13,16,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;year_of_construction;roll_year,SOMERSET,258500,258500,0,0,2026,2001.0,LI,RE,Residential,M-C2,R201,7560.0,,757514468,-4500,-0.0171,4bsw-nn7w,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%251000%25%27+and+upper%28address%29+like+%27%25SOMERVALE%25%27&%24limit=400&%24offset=0
7,C-OCU-20260305T180623Z-007,S-OCU-20260305T180623Z-007,2000 Somervale Court SW,309 2000 SOMERVALE CO SW,309,209,same_stack+adjacent_floor,120,same_floor_plan,same stack with strong metric similarity,stack:09|sub_property_use:R201|land_use:M-C2|assessed_bucket:267500,95.56,13,16,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;year_of_construction;roll_year,SOMERSET,267500,267500,0,0,2026,2001.0,LI,RE,Residential,M-C2,R201,7770.0,,757504303,4500,0.0171,4bsw-nn7w,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%252000%25%27+and+upper%28address%29+like+%27%25SOMERVALE%25%27&%24limit=400&%24offset=0
8,C-OCU-20260305T180623Z-008,S-OCU-20260305T180623Z-008,2000 Somervale Court SW,109 2000 SOMERVALE CO SW,109,209,same_stack+adjacent_floor,120,same_floor_plan,same stack with strong metric similarity,stack:09|sub_property_use:R201|land_use:M-C2|assessed_bucket:257500,95.55,13,16,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;year_of_construction;roll_year,SOMERSET,258500,258500,0,0,2026,2001.0,LI,RE,Residential,M-C2,R201,7770.0,,757503545,-4500,-0.0171,4bsw-nn7w,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%252000%25%27+and+upper%28address%29+like+%27%25SOMERVALE%25%27&%24limit=400&%24offset=0
9,C-OCU-20260305T180623Z-009,S-OCU-20260305T180623Z-009,3000 Somervale Court SW,409 3000 SOMERVALE CO SW,409,209,same_stack+near_floor,110,same_floor_plan,same stack with strong metric similarity,stack:09|sub_property_use:R201|land_use:M-C2|assessed_bucket:272500,99.59,16,16,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,SOMERSET,272000,272000,0,0,2026,2001.0,LI,RE,Residential,M-C2,R201,6010.0,,757507686,9000,0.0342,4bsw-nn7w,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%253000%25%27+and+upper%28address%29+like+%27%25SOMERVALE%25%27&%24limit=400&%24offset=0
10,C-OCU-20260305T180623Z-010,S-OCU-20260305T180623Z-010,1000 Somervale Court SW,409 1000 SOMERVALE CO SW,409,209,same_stack+near_floor,110,same_floor_plan,same stack with strong metric similarity,stack:09|sub_property_use:R201|land_use:M-C2|assessed_bucket:272500,95.75,13,16,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;year_of_construction;roll_year,SOMERSET,272000,272000,0,0,2026,2001.0,LI,RE,Residential,M-C2,R201,7560.0,,757515606,9000,0.0342,4bsw-nn7w,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%251000%25%27+and+upper%28address%29+like+%27%25SOMERVALE%25%27&%24limit=400&%24offset=0
